plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal01,2022-05-01,25005
Al-Jubail,MSF-Phase2,Desal01,2022-05-02,24906
Al-Jubail,MSF-Phase2,Desal01,2022-05-03,25025
Al-Jubail,MSF-Phase2,Desal01,2022-05-04,25215
Al-Jubail,MSF-Phase2,Desal01,2022-05-05,25329
Al-Jubail,MSF-Phase2,Desal01,2022-05-06,25016
Al-Jubail,MSF-Phase2,Desal01,2022-05-07,24896
Al-Jubail,MSF-Phase2,Desal01,2022-05-08,25125
Al-Jubail,MSF-Phase2,Desal01,2022-05-09,24988
Al-Jubail,MSF-Phase2,Desal01,2022-05-10,24991
Al-Jubail,MSF-Phase2,Desal01,2022-05-11,13041
Al-Jubail,MSF-Phase2,Desal01,2022-05-12,19816
Al-Jubail,MSF-Phase2,Desal01,2022-05-13,24495
Al-Jubail,MSF-Phase2,Desal01,2022-05-14,24343
Al-Jubail,MSF-Phase2,Desal01,2022-05-15,19554
Al-Jubail,MSF-Phase2,Desal01,2022-05-16,95
Al-Jubail,MSF-Phase2,Desal01,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal01,2022-05-18,9270
Al-Jubail,MSF-Phase2,Desal01,2022-05-19,23993
Al-Jubail,MSF-Phase2,Desal01,2022-05-20,24202
Al-Jubail,MSF-Phase2,Desal01,2022-05-21,24218
Al-Jubail,MSF-Phase2,Desal01,2022-05-22,1297
Al-Jubail,MSF-Phase2,Desal01,2022-05-23,3877
Al-Jubail,MSF-Phase2,Desal01,2022-05-24,0
Al-Jubail,MSF-Phase2,Desal01,2022-05-25,11991
Al-Jubail,MSF-Phase2,Desal01,2022-05-26,16631
Al-Jubail,MSF-Phase2,Desal01,2022-05-27,14289
Al-Jubail,MSF-Phase2,Desal01,2022-05-28,14465
Al-Jubail,MSF-Phase2,Desal01,2022-05-29,14438
Al-Jubail,MSF-Phase2,Desal01,2022-05-30,14090
Al-Jubail,MSF-Phase2,Desal01,2022-05-31,13834
Al-Jubail,MSF-Phase2,Desal02,2022-05-01,25436
Al-Jubail,MSF-Phase2,Desal02,2022-05-02,25320
Al-Jubail,MSF-Phase2,Desal02,2022-05-03,25480
Al-Jubail,MSF-Phase2,Desal02,2022-05-04,25517
Al-Jubail,MSF-Phase2,Desal02,2022-05-05,25438
Al-Jubail,MSF-Phase2,Desal02,2022-05-06,25336
Al-Jubail,MSF-Phase2,Desal02,2022-05-07,25383
Al-Jubail,MSF-Phase2,Desal02,2022-05-08,25621
Al-Jubail,MSF-Phase2,Desal02,2022-05-09,25764
Al-Jubail,MSF-Phase2,Desal02,2022-05-10,25663
Al-Jubail,MSF-Phase2,Desal02,2022-05-11,13335
Al-Jubail,MSF-Phase2,Desal02,2022-05-12,20740
Al-Jubail,MSF-Phase2,Desal02,2022-05-13,24816
Al-Jubail,MSF-Phase2,Desal02,2022-05-14,25012
Al-Jubail,MSF-Phase2,Desal02,2022-05-15,19876
Al-Jubail,MSF-Phase2,Desal02,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal02,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal02,2022-05-18,11087
Al-Jubail,MSF-Phase2,Desal02,2022-05-19,22619
Al-Jubail,MSF-Phase2,Desal02,2022-05-20,22167
Al-Jubail,MSF-Phase2,Desal02,2022-05-21,23108
Al-Jubail,MSF-Phase2,Desal02,2022-05-22,2085
Al-Jubail,MSF-Phase2,Desal02,2022-05-23,7613
Al-Jubail,MSF-Phase2,Desal02,2022-05-24,13629
Al-Jubail,MSF-Phase2,Desal02,2022-05-25,21956
Al-Jubail,MSF-Phase2,Desal02,2022-05-26,17217
Al-Jubail,MSF-Phase2,Desal02,2022-05-27,14998
Al-Jubail,MSF-Phase2,Desal02,2022-05-28,14954
Al-Jubail,MSF-Phase2,Desal02,2022-05-29,14813
Al-Jubail,MSF-Phase2,Desal02,2022-05-30,14635
Al-Jubail,MSF-Phase2,Desal02,2022-05-31,16105
Al-Jubail,MSF-Phase2,Desal03,2022-05-01,26535
Al-Jubail,MSF-Phase2,Desal03,2022-05-02,26424
Al-Jubail,MSF-Phase2,Desal03,2022-05-03,26333
Al-Jubail,MSF-Phase2,Desal03,2022-05-04,26183
Al-Jubail,MSF-Phase2,Desal03,2022-05-05,26147
Al-Jubail,MSF-Phase2,Desal03,2022-05-06,26196
Al-Jubail,MSF-Phase2,Desal03,2022-05-07,26223
Al-Jubail,MSF-Phase2,Desal03,2022-05-08,26325
Al-Jubail,MSF-Phase2,Desal03,2022-05-09,26190
Al-Jubail,MSF-Phase2,Desal03,2022-05-10,26027
Al-Jubail,MSF-Phase2,Desal03,2022-05-11,13668
Al-Jubail,MSF-Phase2,Desal03,2022-05-12,20280
Al-Jubail,MSF-Phase2,Desal03,2022-05-13,24488
Al-Jubail,MSF-Phase2,Desal03,2022-05-14,24334
Al-Jubail,MSF-Phase2,Desal03,2022-05-15,19346
Al-Jubail,MSF-Phase2,Desal03,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal03,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal03,2022-05-18,9783
Al-Jubail,MSF-Phase2,Desal03,2022-05-19,24027
Al-Jubail,MSF-Phase2,Desal03,2022-05-20,24205
Al-Jubail,MSF-Phase2,Desal03,2022-05-21,24077
Al-Jubail,MSF-Phase2,Desal03,2022-05-22,1263
Al-Jubail,MSF-Phase2,Desal03,2022-05-23,4682
Al-Jubail,MSF-Phase2,Desal03,2022-05-24,2742
Al-Jubail,MSF-Phase2,Desal03,2022-05-25,14164
Al-Jubail,MSF-Phase2,Desal03,2022-05-26,20011
Al-Jubail,MSF-Phase2,Desal03,2022-05-27,23912
Al-Jubail,MSF-Phase2,Desal03,2022-05-28,23947
Al-Jubail,MSF-Phase2,Desal03,2022-05-29,23581
Al-Jubail,MSF-Phase2,Desal03,2022-05-30,23280
Al-Jubail,MSF-Phase2,Desal03,2022-05-31,21316
Al-Jubail,MSF-Phase2,Desal04,2022-05-01,28053
Al-Jubail,MSF-Phase2,Desal04,2022-05-02,27908
Al-Jubail,MSF-Phase2,Desal04,2022-05-03,27868
Al-Jubail,MSF-Phase2,Desal04,2022-05-04,27799
Al-Jubail,MSF-Phase2,Desal04,2022-05-05,27751
Al-Jubail,MSF-Phase2,Desal04,2022-05-06,27612
Al-Jubail,MSF-Phase2,Desal04,2022-05-07,27420
Al-Jubail,MSF-Phase2,Desal04,2022-05-08,27666
Al-Jubail,MSF-Phase2,Desal04,2022-05-09,27675
Al-Jubail,MSF-Phase2,Desal04,2022-05-10,27581
Al-Jubail,MSF-Phase2,Desal04,2022-05-11,14398
Al-Jubail,MSF-Phase2,Desal04,2022-05-12,20355
Al-Jubail,MSF-Phase2,Desal04,2022-05-13,25465
Al-Jubail,MSF-Phase2,Desal04,2022-05-14,25503
Al-Jubail,MSF-Phase2,Desal04,2022-05-15,19909
Al-Jubail,MSF-Phase2,Desal04,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal04,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal04,2022-05-18,9297
Al-Jubail,MSF-Phase2,Desal04,2022-05-19,26982
Al-Jubail,MSF-Phase2,Desal04,2022-05-20,26754
Al-Jubail,MSF-Phase2,Desal04,2022-05-21,26815
Al-Jubail,MSF-Phase2,Desal04,2022-05-22,1417
Al-Jubail,MSF-Phase2,Desal04,2022-05-23,5354
Al-Jubail,MSF-Phase2,Desal04,2022-05-24,14999
Al-Jubail,MSF-Phase2,Desal04,2022-05-25,20864
Al-Jubail,MSF-Phase2,Desal04,2022-05-26,23655
Al-Jubail,MSF-Phase2,Desal04,2022-05-27,25315
Al-Jubail,MSF-Phase2,Desal04,2022-05-28,25537
Al-Jubail,MSF-Phase2,Desal04,2022-05-29,24789
Al-Jubail,MSF-Phase2,Desal04,2022-05-30,24804
Al-Jubail,MSF-Phase2,Desal04,2022-05-31,21685
